# Guess for Rs	Radial constraint	Angular constraint
1.13082e+07	-147879	7.98952e+09
1.13436e+07	-147417	7.96442e+09
1.13791e+07	-146958	7.93948e+09
1.14145e+07	-146501	7.91469e+09
1.145e+07	-146048	7.89006e+09
1.14854e+07	-145597	7.86559e+09
1.15209e+07	-145149	7.84126e+09
1.15563e+07	-144704	7.81708e+09
1.15918e+07	-144261	7.79306e+09
1.16272e+07	-143822	7.76918e+09
1.16627e+07	-143384	7.74544e+09
1.16981e+07	-142950	7.72185e+09
1.17336e+07	-142518	7.6984e+09
1.1769e+07	-142089	7.6751e+09
1.18045e+07	-141662	7.65194e+09
1.18399e+07	-141238	7.62891e+09
1.18754e+07	-140816	7.60602e+09
1.19108e+07	-140397	7.58327e+09
1.19463e+07	-139981	7.56066e+09
1.19817e+07	-139566	7.53818e+09
1.20172e+07	-139155	7.51584e+09
1.20526e+07	-138745	7.49362e+09
1.20881e+07	-138339	7.47154e+09
1.21235e+07	-137934	7.44959e+09
1.2159e+07	-137532	7.42776e+09
1.21944e+07	-137132	7.40606e+09
1.22299e+07	-136735	7.38449e+09
1.22653e+07	-136340	7.36305e+09
1.23008e+07	-135947	7.34173e+09
1.23362e+07	-135556	7.32053e+09
1.23717e+07	-135168	7.29945e+09
1.24071e+07	-134781	7.2785e+09
1.24425e+07	-134397	7.25766e+09
1.2478e+07	-134016	7.23694e+09
1.25134e+07	-133636	7.21635e+09
1.25489e+07	-133258	7.19587e+09
1.25843e+07	-132883	7.1755e+09
1.26198e+07	-132510	7.15525e+09
1.26552e+07	-132139	7.13511e+09
1.26907e+07	-131769	7.11509e+09
1.27261e+07	-131402	7.09518e+09
1.27616e+07	-131037	7.07538e+09
1.2797e+07	-130674	7.05569e+09
1.28325e+07	-130313	7.03611e+09
1.28679e+07	-129954	7.01663e+09
1.29034e+07	-129597	6.99727e+09
1.29388e+07	-129242	6.97801e+09
1.29743e+07	-128889	6.95886e+09
1.30097e+07	-128538	6.93981e+09
1.30452e+07	-128189	6.92087e+09
1.30806e+07	-127841	6.90203e+09
1.31161e+07	-127496	6.88329e+09
1.31515e+07	-127152	6.86465e+09
1.3187e+07	-126810	6.84611e+09
1.32224e+07	-126470	6.82768e+09
1.32579e+07	-126132	6.80934e+09
1.32933e+07	-125796	6.7911e+09
1.33288e+07	-125461	6.77296e+09
1.33642e+07	-125129	6.75492e+09
1.33997e+07	-124798	6.73697e+09
1.34351e+07	-124468	6.71911e+09
1.34706e+07	-124141	6.70135e+09
1.3506e+07	-123815	6.68369e+09
1.35415e+07	-123491	6.66611e+09
1.35769e+07	-123168	6.64863e+09
1.36124e+07	-122848	6.63124e+09
1.36478e+07	-122528	6.61394e+09
1.36833e+07	-122211	6.59674e+09
1.37187e+07	-121895	6.57962e+09
1.37542e+07	-121581	6.56259e+09
1.37896e+07	-121269	6.54564e+09
1.38251e+07	-120958	6.52879e+09
1.38605e+07	-120648	6.51202e+09
1.3896e+07	-120340	6.49533e+09
1.39314e+07	-120034	6.47874e+09
1.39668e+07	-119730	6.46222e+09
1.40023e+07	-119427	6.44579e+09
1.40377e+07	-119125	6.42945e+09
1.40732e+07	-118825	6.41319e+09
1.41086e+07	-118526	6.397e+09
1.41441e+07	-118229	6.3809e+09
1.41795e+07	-117934	6.36489e+09
1.4215e+07	-117640	6.34895e+09
1.42504e+07	-117347	6.33309e+09
1.42859e+07	-117056	6.31731e+09
1.43213e+07	-116766	6.30161e+09
1.43568e+07	-116478	6.28598e+09
1.43922e+07	-116191	6.27044e+09
1.44277e+07	-115905	6.25497e+09
1.44631e+07	-115621	6.23957e+09
1.44986e+07	-115339	6.22426e+09
1.4534e+07	-115057	6.20901e+09
1.45695e+07	-114777	6.19384e+09
1.46049e+07	-114499	6.17875e+09
1.46404e+07	-114221	6.16373e+09
1.46758e+07	-113946	6.14878e+09
1.47113e+07	-113671	6.1339e+09
1.47467e+07	-113398	6.1191e+09
1.47822e+07	-113126	6.10437e+09
1.48176e+07	-112855	6.0897e+09
1.48531e+07	-112586	6.07511e+09
1.48885e+07	-112318	6.06059e+09
1.4924e+07	-112051	6.04614e+09
1.49594e+07	-111785	6.03175e+09
1.49949e+07	-111521	6.01744e+09
1.50303e+07	-111258	6.00319e+09
1.50658e+07	-110996	5.98901e+09
1.51012e+07	-110736	5.9749e+09
1.51367e+07	-110477	5.96085e+09
1.51721e+07	-110218	5.94687e+09
1.52076e+07	-109961	5.93295e+09
1.5243e+07	-109706	5.9191e+09
1.52785e+07	-109451	5.90531e+09
1.53139e+07	-109198	5.89159e+09
1.53494e+07	-108946	5.87793e+09
